Query_Number,Time_Iteration_1,Time_Iteration_2,Time_Iteration_3,Time_Iteration_4,Time_Iteration_5
1,0.14028644561767578,0.027009963989257812,0.026032686233520508,0.026438236236572266,0.024372577667236328
2,0.029827594757080078,0.035187721252441406,0.024551868438720703,0.026117324829101562,0.02791738510131836
3,0.02247023582458496,0.022420167922973633,0.023029565811157227,0.02181386947631836,0.02126336097717285
4,0.022545814514160156,0.018602609634399414,0.021651029586791992,0.02301335334777832,0.021145105361938477
5,0.016958236694335938,0.019598007202148438,0.019614458084106445,0.01776885986328125,0.018332242965698242
